Menu Type,Menu Depth,Menu Breadth,Device,Target Item
Marking,1,2,Mouse,Food
Marking,1,2,Mouse,Animals
Marking,1,2,Mouse,Animals
Marking,1,2,Mouse,Food
Marking,1,2,Touchpad,Food
Marking,1,2,Touchpad,Animals
Marking,1,2,Touchpad,Animals
Marking,1,2,Touchpad,Food
Marking,1,4,Mouse,Animals
Marking,1,4,Mouse,Food
Marking,1,4,Mouse,Clothing
Marking,1,4,Mouse,Continents
Marking,1,4,Touchpad,Animals
Marking,1,4,Touchpad,Food
Marking,1,4,Touchpad,Clothing
Marking,1,4,Touchpad,Continents
Marking,2,2,Mouse,Mammals
Marking,2,2,Mouse,Reptiles
Marking,2,2,Mouse,Fruit
Marking,2,2,Mouse,Vegetables
Marking,2,2,Touchpad,Mammals
Marking,2,2,Touchpad,Reptiles
Marking,2,2,Touchpad,Fruit
Marking,2,2,Touchpad,Vegetables
Marking,2,4,Mouse,Reptiles
Marking,2,4,Mouse,Vegetables
Marking,2,4,Mouse,Bottoms
Marking,2,4,Mouse,Africa
Marking,2,4,Touchpad,Reptiles
Marking,2,4,Touchpad,Vegetable
Marking,2,4,Touchpad,Bottoms
Marking,2,4,Touchpad,Africa
Marking,3,2,Mouse,Cats
Marking,3,2,Mouse,Snake
Marking,3,2,Mouse,Orange
Marking,3,2,Mouse,Potatoes
Marking,3,2,Touchpad,Cats
Marking,3,2,Touchpad,Snake
Marking,3,2,Touchpad,Orange
Marking,3,2,Touchpad,Potatoes
Marking,3,4,Mouse,France
Marking,3,4,Mouse,Beret
Marking,3,4,Mouse,Slippers
Marking,3,4,Mouse,Catfish
Marking,3,4,Touchpad,France
Marking,3,4,Touchpad,Beret
Marking,3,4,Touchpad,Slippers
Marking,3,4,Touchpad,Catfish
Radial,1,2,Mouse,Food
Radial,1,2,Mouse,Animals
Radial,1,2,Mouse,Animals
Radial,1,2,Mouse,Food
Radial,1,2,Touchpad,Food
Radial,1,2,Touchpad,Animals
Radial,1,2,Touchpad,Animals
Radial,1,2,Touchpad,Food
Radial,1,4,Mouse,Animals
Radial,1,4,Mouse,Food
Radial,1,4,Mouse,Clothing
Radial,1,4,Mouse,Continents
Radial,1,4,Touchpad,Animals
Radial,1,4,Touchpad,Food
Radial,1,4,Touchpad,Clothing
Radial,1,4,Touchpad,Continents
Radial,2,2,Mouse,Mammals
Radial,2,2,Mouse,Reptiles
Radial,2,2,Mouse,Fruit
Radial,2,2,Mouse,Vegetables
Radial,2,2,Touchpad,Mammals
Radial,2,2,Touchpad,Reptiles
Radial,2,2,Touchpad,Fruit
Radial,2,2,Touchpad,Vegetables
Radial,2,4,Mouse,Reptiles
Radial,2,4,Mouse,Vegetables
Radial,2,4,Mouse,Bottoms
Radial,2,4,Mouse,Africa
Radial,2,4,Touchpad,Reptiles
Radial,2,4,Touchpad,Vegetable
Radial,2,4,Touchpad,Bottoms
Radial,2,4,Touchpad,Africa
Radial,3,2,Mouse,Cats
Radial,3,2,Mouse,Snake
Radial,3,2,Mouse,Orange
Radial,3,2,Mouse,Potatoes
Radial,3,2,Touchpad,Cats
Radial,3,2,Touchpad,Snake
Radial,3,2,Touchpad,Orange
Radial,3,2,Touchpad,Potatoes
Radial,3,4,Mouse,France
Radial,3,4,Mouse,Beret
Radial,3,4,Mouse,Slippers
Radial,3,4,Mouse,Catfish
Radial,3,4,Touchpad,France
Radial,3,4,Touchpad,Beret
Radial,3,4,Touchpad,Slippers
Radial,3,4,Touchpad,Catfish